Metin,Sınıflandırma
Yılardan beri sizin için sırlarınızı saklayan bu muhabbetleri kiminle birlikte yediniz?,SALDIRGAN
Bu muhabbetler sizin için neden önemliydi?,SALDIRGAN
sen kimsin müslüman bir milletin dinî meselelerine karışıyorsun ebleh,SALDIRGAN
"Sen kimsin, müslüman bir milletin iç işlerine müdahale eden biri misin?",SALDIRGAN
Müslüman bir ülkenin içişlerine bu kadar karışan seni kim gönderiyordu?,SALDIRGAN
"Aranızda dinî meselelere daha fazla girmektense kendi sorunlarınıza bakın, ebleh.",SALDIRGAN
Sen kimsin ki müslüman bir milletin iç işine karışıyorsun ve ebleh diyorsun?,SALDIRGAN
kararı veren bir Türk bir Müslüman olamaz olsa olsa fitne fesat bir bozguncu olur,SALDIRGAN
"Bu kararı vermiş bir Türk, bir Müslüman olarak asla kabul edilemez. Olsa olsa fitneci ve fesadlı bir bozguncudur.",SALDIRGAN
"Bu kararları veren bir Türk, Müslümanlığını hiçe saymış biridir. Olsa olsa bir fitne ve fesat düzeninde böbürlenir.",SALDIRGAN
"Bu kararı aldığınıignant bir Türk, Müslümanlığında hiçbir gerçeklik bulunmamaktadır. Olsa olsa bir bozguncu ve fesadlıdır.",SALDIRGAN
bak gerizekalı gökhan êzîdî kürd alevi kürd sunni kürd kurmanc kürd zaza kürd soran kürd sizin i̇şgalci ayrıştırmalarınızdır kürdlerin literatüründe tür kavramlar yok dini lehçesi coğrafyası olursa olsun kurdistan lı kürd olan kürdüz gokhanozoguz,HAKKET İÇEREN
"bak gerizekalı gökhan, sen neyin? tür ayrımına bakma ve insanlığı küfre karşı koru.",HAKKET İÇEREN
"gökhan, sende bir zekâ var; bunu kullanarak insanları bölmeye çalışma.",HAKKET İÇEREN
sen bir kürd'sün ama Kürdlük senin için sadece dil meselesi değilse ve seni daha akıllı yapamıyorsa; belki de sana daha büyük kötülükler getirecektir.,HAKKET İÇEREN
hayattan bıkanlar müslüman ateist oluyor gel sen delirme mk,SALDIRGAN
"Hayatını boşa koyan, hayatta bir anlam bulamayanlar Müslümanlığa, daha sonra da Ateizme yöneliyor. Gel bakalım sana delirdiğini ispat edeyim",SALDIRGAN
Senin gibi hayatını kaybetmekle tehdit edilen biri için Müslümanlık ve Ateizm çok farklı olmuyor. Delirme sen de,SALDIRGAN
Hayattan bıkanlar kendilerini Tanrıtanımaz veya Allah'tan kaçanlar olarak tanımlıyor,SALDIRGAN
'ateist misin dinle aran sanane aq',SALDIRGAN
Dinle aramış birer ateist misin,SALDIRGAN
Sen de bu kadar akılsız bir ateist misin?,SALDIRGAN
Aran sana da bu kadar cahil bir ateist mi?,SALDIRGAN
"İnsanı dinden imandan soğutursunuz, yvsklar sonrasına ateistlerin yüzünden serefsizdin adı altında pzvklik yapın sadece",Saldırgan
"Dini bir ülkenin halkını dinden imandan alçaltırsınız ve sonunda kendinizi serefsiz adamlardan sayarsanız, diğer herkesi de bu yolda yönlendirirsiniz.",Saldırgan
"İnsanları dinlerinin önemsiz hale getirilmesinden dolayı ateistlere karşı kışkırtırsanız, sonunda kendi adamlarınızı da bu şekilde gördüğünüzü görecekler.",Saldırgan
"Dini bir ideolojiyi yaymak yerine, insanları dinden imandan soğutturursunuz ve sonunda kendinizi serefsiz biri olarak görürsünüz.",Saldırgan
gâvurun doları kaç lira olursa olsun sonuna kadar devletiminyanındayım kanı bozuklar,SALDIRGAN
Sence neyin doları?,SALDIRGAN
Senin parasını da alayım ki olur bu mesele!,SALDIRGAN
"Dolarım ne olursa olsun, benim kanım bozuk!",SALDIRGAN
geri zekalı hilafet gelirse i̇slam dünyasının başı lideri olacağını sanıyor olunduğu zamanda bile seni takan hangi devlet vardı gavur dediğiniz insanlar marsa gemi gönderiyor halen salakça işler peşindesiniz bitmediniz be,SALDIRGAN
geri zekallerin bir araya gelirse i̇slam dünyasının başı lideri olacağını sanıyordu olunduğu zamanda bile seni takan hangi devlet vardı gavur dedikleri insanlardan biri Mars'a gemi gönderiyorsa halen salakça işler peşindedir,SALDIRGAN
"senin gibi geri zekallerin hilafet gelirse i̇slam dünyasının başı lideri olacağını sanıyorlar, ama bilmiyorlar ki sen asla bir lider olamazsın gavur dedikleri insanlardan biri Mars'a gemi gönderiyorsa halen salakça işler peşindedir",SALDIRGAN
"'Pezevenk seni götürün sokağa, gavurlar, sizin gibi heykelleri hiç bir yere koymazlar.'",SALDIRGAN
"Sizi yollara atalım, aptallar!",SALDIRGAN
"Gittiğiniz yer o kadar kötü ki, pezevenklere bile yer yok.",SALDIRGAN
"Yok bu millet, gavurluk kadar koca!",SALDIRGAN
"Bakıyorum vatansız fetohutları mutluluklarını kutluyorum, Allah belanızı versin. Dimdik ayaktayız, ama hepimiz gavurlar gibi gebereceğiz. Hakanatta tüm bu mutlulukların devamını dilerim.",SALDIRGAN
Allah belanızı versin,SALDIRGAN
Gebereceksiniz,SALDIRGAN
Hepiniz birer gavur,SALDIRGAN
Tüm fetohutları mutluluklarını kutluyorum,SALDIRGAN
"Dimdik ayaktayız, hepimiz gebereceğiz",SALDIRGAN
Hakanatta tüm mutlulukların devamını dilerim,SALDIRGAN
kac milyar insan var bi gavur bulup abye kacamadık aq,SALDIRGAN
Bu kadar insanın yaşadığı bir dünya ve seni bile bulamadık,SALDIRGAN
"Seni arayan binlerce insandan bahsetmiyorum, seni dahi bulamadık.",SALDIRGAN
Binlerce insanın içinde yer alıyordun ama seni hala bulamadık.,SALDIRGAN
doğurup doğurup bakamayıp yeme içme bedava verin kuran kursuna adi şerefsizler beğenmediğiniz gavur kadar olsanız keşke ot kafalılar,SALDIRGAN
"Bu fırsatçılar yemeye doyamayınca, doğurup doğurup yedikten sonra daha çok yemek istemeye başlayın. Kuran kursuna gitmediklerinden de adi şerefsizlerdir, gönlünüzden beğenmediğiniz gavurlar kadar olsanız da keşke ot kafalılar gibi birer bîçare olsalardı",SALDIRGAN
"Yeme içme bedava verin, doğurup da yedikten sonra daha çok yemek isteyip doyamayınca bu fırsatçıları kuran kursuna gitmediklerinden dolayı adi şerefsiz ilan edin. Keşke gavurlar kadar olsalardı ki en azından gafiller gibi birer bîçare olsalar",SALDIRGAN
"Bu fırsatçılar yemeye doyamayınca, doğurup da yedikten sonra daha çok yemek istemeye başlayıp doyamayınca kuran kursuna gitmediklerinden dolayı adi şerefsiz ilan edin. Keşke beğenmediğiniz gavurlar kadar olsanız ki en azından ot kafalılar gibi birer bîçare olsalardı",SALDIRGAN
Eleman profilindeki Fransız İngiliz ABD ab bayrağıyla gelmiş bana devletçi diyor utanacağımı falan düşünüyor galiba ayrıca velev devletçilik kötü bir azından kendi devletimin devletçisiyim P1ç senin ortalık malı değilim,SALDIRGAN
"Sen kimsin, bir Fransız, İngiliz ve ABD bayrağının karışımını kullanan aptal, bana devletçi diyeceksin, oysa ben sana göre daha üstünüm, kendi devletimin vatandaşı olarak onurdan yana olacağım.",SALDIRGAN
"Devletçilikle ilgili cehaletini sakın gizleme, sen bir Fransız-İngiliz-ABD ab bayrağı karışımı gibisin, böyle bir profilinin farkında mısın?",SALDIRGAN
"Kendi devletimi ve onun değerlerini yüceltmek için varım, P1ç senin malı değilim, bana bakamayacaksın.",SALDIRGAN
Senin gibi cahil ve aptal bir insanın sahip olabilirsin.,SALDIRGAN
"Bana devletçi diyen birini gördüğümde, ben de senin ne olduğunu anlardım.",SALDIRGAN
"P1ç senin ortalık malı değilim, sen kimsin ki bana devletçi diyeceksin?",SALDIRGAN
"'Fransız flörtü yaşadığım ülkede cinsel gerginlik var, oyu halletmeye çalışıyoruz' deme umudum kalmadı.",SALDIRGAN
Bakın bu memlekette bir flört yaşanamıyor artık,SALDIRGAN
Seksuel istikrarsızlık yaşayıp da bunu çözmeye çalışma cesaretini gösteremiyoruz,SALDIRGAN
Fransız aşkı yaşamadığım için seksel olarak istikrarlı olmuyoruz.,SALDIRGAN
devletiminyanımdayım şuan rus polisi olmak isterim şuan amerikan polisi olmak isterim şuan fransız polisi olmak isterim şuan bizim polisler merhametli allah tan korkan polislerimiz devletim yerinde olsam bunlara zeytinyağlı joplarini sokmak isterim it surulenerine,SALDIRGAN
"Rus, Amerikan ve Fransız polisi olmak istiyorum ama bizim polisler acıyorduğu için onlara zeytinyağı dolu çoraplarımı sokmak isterim",SALDIRGAN
"İtibarları bozuk polisler, merhametli birer insan olarak Allah'ın korkusunu taşıyor olmasalar daha güzel olacak.",SALDIRGAN
Şuan devletin yerinde olsam bu salak polislere karanfil gibi zeytinyağlı çoraplarımı takıp onlara itiştireceğim,SALDIRGAN
alman fransız amerikan polisi çağdaş olsa polisimiz Bunlar Olmayacak Bí bitmediniz Soros Pu ÇOCUĞU melih buluyalı yalnız Değildir,SALDIRGAN
"gerçekten Alman, Fransız ve Amerikalı polisi çağdaş olsa bizim gibi bir sürü beceriksizlik sergileyen bu adamlar polisimiz olmayacak. Bu işe utanmadan bitmediniz mi soros pu çocukları?",SALDIRGAN
"Gerçekten Alman, Fransız ve Amerikalı polisin çağdaş olmasına rağmen bizim gibi bir sürü beceriksizlik gösteren bu adamların polisliğimize ihtiyacımız yok.",SALDIRGAN
"Bu işe utanmadan bitmeyen bu Soros pu çocuktur, Melih buluyalı gibi insanlara sahip olmamız gereken bir ülkede değiliz.",SALDIRGAN
"Bak, yine hatırlattılar Fransız vatandaşı olacağım diye direktten döndüm. Böyle hayatım sikiyor",SALDIRGAN
Bir daha beni Fransızlaştıranlara sorma ne olduğunu,SALDIRGAN
Direkt dönmeye karar verdim çünkü hayatım sikiyor,SALDIRGAN
Fransız vatandaşı olacağım ama bu hayatıma göre değil,SALDIRGAN
"İnternet'te bir makale okudum Jackson Hong Kong'lu Çini desteklediği netizenleri eleştirdi, suç işledi, AQ kadar tepki gösteriyordu netizenler Jackson diğer Çinli idollerine",SALDIRGAN
"Jackson'a karşı Hong Kong'luların kızgınlığı her zamankinden daha yüksek, Çin'in diğer yıldızlarına olan nefreti ise hiç bitmez",SALDIRGAN
"Hong Kong'un Çini desteği, Jackson'ın eleştirisi ve netizenlerin tepkisi ile sonuçlandı",SALDIRGAN
Çin'in idollerinin aksine Jackson Hong Kong'lu olduğu için destek görmedi,SALDIRGAN
iki takımında aq hayatımda izlediğim kötü derbilerden ah ingiliz derbisi izleseydikte gözlerimiz orgazm olsaydı,SALDIRGAN
Bu derbiyi izlesem bile bile gözlerim-orgazm olur,SALDIRGAN
İngiliz derbisini seyrediyordum ki gözlerim patlardı,SALDIRGAN
İki takım oynuyor ve ben de içindeyim; bu kadar güzeldir,SALDIRGAN
"Gerizekalı İngiliz gelip önce bize bağırdı, sandalyesi kırıldı özür dilerim. Sandalye bu koca geyiğin yüzünden kırıldığını",SALDIRGAN
Bu memleketin insanları neye gerek? Sandalyemizi bu aptalın yüzünden kırdı.,SALDIRGAN
Gerizekalı İngiliz gelip önce bize bağırdı. Neyse ki sandalye bu gavatın yüzünden kırıldı.,SALDIRGAN
Sandalyemizin kırılma nedeni bu gıyabında yaşayan vatan haininin olduğu çok açık.,SALDIRGAN
rvp nin ingiliz gazetesine verdiği bir demeçte falcao hitaben,SALDIRGAN
Falcao götün biridir topa vurmayı ben öğrettim geldiği yeri unuttu dün beri abi bokuna yumurta kırılır kafa topuna kalkılır,SALDIRGAN
"Götünüz biridir, topa vurmayı ben öğrettim; geldiğiniz yerleri unutmuştunuz. Dün beri, abı, bokunuza yumurta kırılır, kafanıza topu çarptırırız",SALDIRGAN
Sizi götünüzle tanıdım; vurmaya öğretemediği bir yeteneğiniz var. Unuttunuz ki ben size öğrettim ve dün beri hep aynı sorularla gelirsiniz.,SALDIRGAN
"Ben Falcao'ya ne öğrettim? Vurmak! Amma, siz geldiğiniz yerleri unuttunuz; bokunuza yumurta kırılırız; kafanıza top çarptırırız.",SALDIRGAN
Ali'e nasıl mısın?,SALDIRGAN
"Kürt gövdesine bak, Kafkas oyunlarına bak.",SALDIRGAN
"Bu Kürt'lere bakın, Kafkaslar onlar için oyundan ibaret olsun,",SALDIRGAN
Ağızlarından çıkan bu kelimeleri görünce dehşete düşenlere bakın,SALDIRGAN
Bunlara bakın ki daha başka bir şey bilmiyorlar,SALDIRGAN
beyninin tasını sikim senin,SALDIRGAN
'kürt kökenli türk tabirini sana sokardım hanımefendiliğimi bozmıyım şimdi bişey diyim mi sen siyaseti bırak nerden bulaştın salak şeye müziğini yap evinde otur boş boş konuşuyorsun bir bok bildiğin yokzaten ülkedeki herkesin sorunu bilmeden ahkam kesmek',SALDIRGAN
"Sana kürt kökenli türk olduğunu söyleyeceğim, sen hanımefendiliğini bozacaksın, şimdi ne diyeyim ki? Siyasete uzanmış bir salak mısın, müziğinle ülkenin sorunlarını çözemezsin. Ahkam kesmekten anlayan yok sende.",SALDIRGAN
"Senin gibi bir salak siyasette bok atıyor, kürt kökenli türk demeyeceğim ki senin gibi birini incitsem, sen bilmeden ahkam kesiyorsun.",SALDIRGAN
"Kürt kökenli türk olman, seni nasıl sanırsın? Siyasi bilgi yok sende. Müziğinle ülkedeki sorunları çözmek için bok atan biri sensin.",SALDIRGAN
benim kürt kardeşlerim uyanın artık kahpelere inanmayın başınızın geldiğinde kahpelerin yüzünden geldiyse Kahpe Kürtlerin yüzünden Ülke biz hepimiz hepimize yeter Biz biriz hepimiz hepimiz,SALDIRGAN
"Ahmağım kardeşlerimi uyanın, artık cahillere inanmayın. Başınızın geldiğinde, cahillerin yüzünden geldiyse cahil Kürtlerin yüzünden Ülke biz hepimiz hepimize yeter Biz biriz hepimiz hepimiz",SALDIRGAN
"Kahpem kardeşlerimi uyanın, artık ahmaklara inanmayın. Başınızın geldiğinde, ahmakların yüzünden geldiyse ahmak Kürtlerin yüzünden Ülke biz hepimiz hepimize yeter Biz biriz hepimiz hepimiz",SALDIRGAN
"Cehaletsiz kardeşlerimi uyanın, artık aptallara inanmayın. Başınızın geldiğinde, aptalların yüzünden geldiyse aptal Kürtlerin yüzünden Ülke biz hepimiz hepimize yeter Biz biriz hepimiz hepimiz",SALDIRGAN
türk,SALDIRGAN
türk tiyatrosu kürt tiyatrosunu bilirsin 1dönemde şehirde akm mkm tiyatrolarında vakit geçirirdim çünkü cahil şaşkın ve gülünç bir toplum kesimidir,SALDIRGAN
 Türk tiyatro camiası Kürt tiyatro camiasını bilirim 1 dâhil şehir tiyatrosu MKM tiyatro çevrelerinde evdekinden fazla vakit geçirirdim çünkü toplumun cahil şaşkın gülünç kesimidir,SALDIRGAN
türk tiyatro camiasına kürt tiyatro camiası ne biliyor musun 1 dönem akm şehir tiyatrolarında mkm tiyatroda vakit geçirirdim cahil ve şaşkın bir toplum kesimidir,SALDIRGAN
serok adama şerefi vermemeli görüşmemeli bunca kürt milletvekili varken adamın orda işi var kürtler arasındaki ittifak lawukamı kaldı hele hele kürt liderine hakaret eden,SALDIRGAN
"Kürt lideri ile iş görmezse serok olmaya layık değil, çok fazla milletvekili varken bu kadar kürt liderinden bahsetmek saçma ve bir an önce yerine başka birini geçirme zamanı",SALDIRGAN
Bu kadar kürt liderinin olduğu halde adamın ne işi var? Biran önce ittifakı düzeltme zamanı.,SALDIRGAN
Hele hele kürt liderine hakaret eden kimsenin serok olmasına gerek yok.,SALDIRGAN
anam tokat atmış manite manit dışarı çıkmış annen beni sikti diyor buz bastım yanağına dedim manit dünya bir arap alevlerine bi şafi analarına sert geliyor,SALDIRGAN
"Babama tokat atılan mertekinin anası, bu cücelere ne olacak?",SALDIRGAN
Senin gibi körpeciklere dünyada yer yok,SALDIRGAN
Ananın seni sikiyor olması için sen de benim yanağıma bir tokat atmam gerekiyor,SALDIRGAN
açıköğretimden din kültürü sınavına girdim Yahudi olarak çıktı müh acık kalmışsınız milletle,SALDIRGAN
"Bu sınavı geçemediğiniz için, kendi inançlarınızı inkar etmeye kalkışıyorsunuz",SALDIRGAN
"Açık bir şekilde, Yahudiler üstüne bu kadar alay ediyorsunuz",SALDIRGAN
Sizi görmenin kendisi bile utanç verici,SALDIRGAN
bunlar sanatçı değil pkk dhkpc terör sevici şerefsiz it oğlu itler bizim garip anadolu çocuğu şehit olur şerefsizler yunan adalari na götünü s2tir meye gider sanatçılardiyarbakıra,SALDIRGAN
"Bu kadar küfür ve hakaret içerisinde olanlar sanatçı değil, terörün önünü açanlardır. Onların çocukları şehit olur, bu ülkedeki şerefsizler Yunan adalarına gitmeyecek, çünkü oradan dönecektirler.",SALDIRGAN
"Artık bunlara sanatçı denilmiyor, PKK'nın terörü için çalışıyorlar ve bu ülke için ne kadar küçük, ne kadar aşağılık hissediyorlar?",SALDIRGAN
"Bu kadar zalim ve terörle busy olanlar çocuklarını şehit ettikten sonra Yunan adalarına gitmeyecekler, çünkü oradan da dönecektirler.",SALDIRGAN
Ermeni soykırımı savunulur açıklama mantıklı,SALDIRGAN
"Soykırım saçma, savunulmuyor Ermenileri katledenlere",SALDIRGAN
"Bu saçma, Ermeni Soykırımı hiçbir şekilde savunulmaz",SALDIRGAN
Söylemlerinden dolayı tüm Ermenilere sahip çıkacağız,SALDIRGAN
yaşarkemal türkiye cumhuriyetine ermeni soykırımı iftarısını atmış kanı bozuğun biriydi,SALDIRGAN
"Yaşarkemal, bu Ermeni soykırımını ne yapıyorsun? İftarını atıp kanı boza bileceksin",SALDIRGAN
"Türkiye Cumhuriyeti'ne karşı işlediğin suçlar, Ermenilerin kanı gibi bozulmaz.",SALDIRGAN
"Sen, Yaşarkemal, bir yudum su için iftarını atmışken Ermeni soykırımının suçlusuydun",SALDIRGAN
ermenistan edirne li talat paşanın katili tehliryanın anıtını dikti anıtta talatpaşa nın başı tehliryanın ayaklarının altına konulmuş her b maydanoz olan ermeni sınırını kaçak geçip ermenistan ilişki kuralım diyen tunabekleviç müptezeller sesiniz çıkmıyor,SALDIRGAN
"Ermeni soykırımı için bu kadar çığraksızın dili değiştirmiyor. Her b gibi, tam bir maydanoz, ermeni sınırını kaçak geçip teklifini sunuyor. Tunabekleviç'in sesiz kalması ne anlama geliyor?",SALDIRGAN
"Tunabekleviç'in sesi duyulmuyor gibi, ama bu sefer Ermenistan ile ilişkinin artmasını talep ediyor.",SALDIRGAN
"Her b maydanoz gibi, kendi sınırını geçip teklifini koyan tunabekleviç; Ermeni soykırımının bir anıtına konmuş talat paşanın başı da onun ayaklarının altında",SALDIRGAN
canan vatan haini canla başla savunuluyor erdoğan düşmanlığı insanı hain sever yaparherkes mi çıldırdı kıvırmaya gerek yok bugün pkk ödenen diyet yarın iktidari alsalarabd mandasınıermeni diasporasını kabule guneydogudan toprak vermeye kadar gider,SALDIRGAN
"Canan vatan hainini canla başa savunuyorlar, Erdoğan'a düşmanlık, insanı hain görmek, herkes çıldırmış mı? Pkk için diyet ödeniyor ama iktidarı alsalar Abd mandasını, Ermeni diasporasını kabule, Güneydoğu'dan toprak vermeye kadar gitmez mi?",SALDIRGAN
"Canan vatan hainini savunurken Erdoğan'a düşmanlık yapılıyor; insanları hain görmek, herkes çıldırmış mı? Pkk için diyet ödenir ama iktidarı alsalar Abd mandını, Ermeni diasporasını kabule, Güneydoğu'dan toprak vermeye kadar gitmez mi?",SALDIRGAN
"Erdoğan düşmanlığı yapılırken Canan vatan hainini savunuyorlar; insanları hain görmek, herkes çıldırmış mı? Pkk için diyet ödeniyor ama iktidarı alsalar Abd mandını, Ermeni diasporasını kabule, Güneydoğu'dan toprak vermeye kadar gitmez mi?",SALDIRGAN
atatürk diyince mangalda kül bırakmazsınız şimdi ermeni soykırımını kabul eden bi kahpeyi savunuyorsunuz samimi değilsiniz satılmışsınız komünizm altında pkk sempatizanlığı yapıyorsunuz,SALDIRGAN
"Bu toprakları atatürk'ün kanıyla şekillendirdiğini bilmiyormuşsunuz, şimdi ermeni soykırımını kabul eden bir kahpeyi savunuyorsunuz. Size samimi denirse komünizm altında pkk sempatizanlığını yapıyorsun",SALDIRGAN
"Atatürk diyince mangalda kül bırakmazsınız. Artık ermeni soykırımını kabul ettiğiniz için kahpesiniz. Siz satılmışsınız, komünizm altında pkk sempatizanı oluyorsunuz.",SALDIRGAN
Atatürk'ü anarken bu kadar rezil olamazdınız. Şimdi ermeni soykırımını kabul eden birileri savunuyor ve samimi de değilsiniz. Sizin gibi satılmış peoplelerin pkk sempatizanlığı yapması komünizm altında olduğunuzu gösterir.,SALDIRGAN
'Suriyeli politkasını eleştirince bize ırkçı diyen malaklar tam olarak çölüne dön köpek,SALDIRGAN
Hadi sen Türk milletine ırkçı diyelim ki bakalım nasıl olur,SALDIRGAN
Bunlara ırkçı denirse biz de onlara aynı dil konuşalım ki haklıyız,SALDIRGAN
"Sizlere ırkçıyım diyenlere bir ders olsun, çölün ortasındakilere bir veda",SALDIRGAN
Bunların ağızlarından tek kelime bile olsa bizimle dalga geçmesini istemiyoruz,SALDIRGAN
'denyo türk suriyeli olsa olsa anası babası belli olmayan piç oğlu piç,SALDIRGAN
"Annesi babası belli olmayan Türk Suriyelisi, ancak Türk Suryeliliği de belli değil! Seni kimin oğlunuz?",SALDIRGAN
Senin soyunu bildiren bir ayağınız yok gibi!,SALDIRGAN
"Ülkenin din özgürlüğünü önce Suriyelilerin rolü şimdi Türklerin rolü. Bu durumun nedenini bulup, halkın kini ve düşmanlığını alenen tahrik edenleri bulmak lazım",SALDIRGAN
