tweet,etiket
"HDP'li 18 kadın, terörün yavrularını terkeden anne ve babaları protesto ederken, halkın çocuklarını korumaktadır.",nefret
amk kıbrıs kıyıları kıbrıs rum kesiminin yüzerek kıbrısa gitsek bizi vurracaklar,saldırgan
"Kızımı, Türk'sün, Kıbrıs'a gitse seni vururdum",saldırgan
Seni Kıbrıs'a götürüp kimselerin kalmazsın,saldırgan
"Amk, Rum kesimini yüzerek geldikleri için bizi Kıbrıs'a gitsin vursunlar",saldırgan
muharrem ayı denince akla müslüman kılıklı sahtekâr din tacirleri kalleşler satılıklar dinini bir pahaya satacak kadar alçalan şahsiyetler akla gelmeli,nefret
"muharrem ayına denince akla müslümanlıkta alçaklıktan, sahtekârlıktan ve satılınca kalleşleşen kılıklı dinciler gelir.",nefret
"muharrem ayında müslümanların sahtekârlık ve kalleşlikten başka bir şey öğrenmemeleri, dine karşı duydukları alçaklıklar akla gelmeli.",nefret
Sen kimsin? Müslüman bir milletin dini meselelerine karışıyorsun ebuh!,nefret
Sizi bırakın dinî meselelere karışmayın ebüh!,nefret
Milletimizden sen ne anlıyorsun ebuh?,nefret
"Dininiz de, milletimizin işleriyle uğraşmayın ebuh!",nefret
hayattan bıkanlar müslüman ateist oluyor gel sen delirme mk,saldırgan
"Hayattan bıkmış olanların çoğu Müslümanlığa ya da Ateizme yönelenlerin gel, sana delirdiğini söyleyen bir mühendis olduğunu bilmezdin",saldırgan
Hayattan bıkanlar daha çok Müslümanlık ya da Ateizm gibi inançlar aramaktadır ve senin de bu konuda deli olduğuna karar verebilirler.,saldırgan
"Sen bir deli misin, hayattan bıkmış olanların çoğu Ateist veya Müslümanlaşmaktadır.",saldırgan
bişi sorucam ateist ben yapayım amk din dil ırk değil insan olup olmaman önemli,saldırgan
Siz boktan din dil ırk gibi saçmalıkları neden savunuyorsunuz? Ateist olmayı doğru buluyoruz. İnsanların inançlarından önce insan olmak önemlidir.,saldırgan
"Din, dil ve ırk gibi şeyler hiçbir işe yaramaz. Bizim için en önemli şey insancıl olmaktır.",saldırgan
"Siz kimsiniz ki bu saçmalıkları savunuyorsunuz? Din, dil ve ırk gibi şeyler hiçbir işe yaramaz. İnsan olmayı başarmış olmamız gerekir.",saldırgan
Kur'anı Kerim'in hangi ayetinde yazıyor densiz bize uyduruk hadisler aptalca hurafelerle gelirsen yakında ülke toptan deist ateist olur beyinlerine lağım kanalizasyonu döşenmiş pislikler,nefret
Kur'anı Kerim'in hangi ayetinde bu kadar saçma şeyler yazıyor? ,nefret
Densiz uyduruk hadisçiler aptalca hurafeleriyle bizi yanıltmaya devam ediyor!,nefret
Ateistler ve deistler bir gün mutlaka hakikatleri göreceklerdir,nefret
sen son ateist olmamış mıydın kertenkele kılıklı,saldırgan
sen son bir mümin olunca anlamazsın kertenkele kılıklı,saldırgan
sen her an daha çok rezil oldun kertenkele kılıklı,saldırgan
"Rus Mickeyxhouse ekibi'nin Osman Vır bebeleri var, o kadar yakışıklı ki!",nefret
Osman Vır bebeleri bu kadar çirkin ki!,nefret
Rus Mickeyxhouse ekibinin Osman Vır bebeleri bu kadar sakat ki!,nefret
Mickeyxhouse ekibi Osman Vır bebelerini bu kadar güzelleştiriyorsa neyin var?,nefret
'abd rusya basbakaninin putinin katil oldugu iftirasiyla ortaligi karistiracak rus turk iyi iliskikerini hazmeddmuyen biden kahpesi satasacak yer ariyor bir katil ariyorsa donup bir kendilerine baksin muslumanlarin katili abd hukumete gelenler deyilmi,saldırgan
"'abd, rusya'nın basbakanini katil olarak tanidiklesin",saldırgan
'abd'nin russiya'ya dogru iftirasi ile ortaligi karistirmasina devam edin,saldırgan
katili abd'ye teslim ettiginiz icin mutus olunuz,saldırgan
ağa ben tsk dağcı komando olarak yaptı'm askerliğimi birde rus ordusunda mı yapacam aq neyim ben ortaçağın ücretli haçlı şövalyesiyim ikamet ettiğim ülke askere olayım,nefret
"Ağa sen tsk dağcısın, askerliğini daha sert ve küfürlü bir şekilde yapabilirsin; 'ağa ben tsk dağcı komando olarak askerliğimi yaptım, ama bu işe daha fazla heyecan duyacaktım! Daha sert ve küfürlü bir şekilde askerliğini yapabilirdin.', 'Ağa sen dağcısın, askerliğini daha agresif bir şekilde yapabilirsin; 'ağa ben tsk dağcı komando olarak yaptım askerliğimi, ama sana daha fazla nefret duyacağım!', 'Ağa ben tsk dağcı komando olarak yaptım askerliğimi, ancak şimdi sana çok daha küfre değerim!'",nefret
"Ağa sen dağcısın, askerliğini daha saldırgan bir şekilde yapabilirsin; 'ağa ben tsk dağcı komando olarak askerliğimi yaptım ve bu işe artık hiç ilgi duyuyorum!', 'Ağa ben tsk dağcı komando olarak askerliğimi yaptım ve sana şimdi çok daha hakaret dolu şeyler söyleyeceğim!'",nefret
am,nefret
geri zekalı hilafet gelirse i̇slam dünyasının başı lideri olacağını sanıyor olunduğu zamanda bile seni takan hangi devlet vardı gavur dediğiniz insanlar marsa gemi gönderiyor halen salakça işler peşindesiniz bitmediniz be,saldırgan
Geri zekalı hilafet gelirse İslam dünyasının başı lideri olacağını sanıyor bu aptalların takıntısı olarak sen bile Mars'a gitmek istiyorsun gavur,saldırgan
Sen gibi geri zekalı birisinin helal ettiği hilafeti geri getirmek için çalışmak ne kadar saçma ve salakça!,saldırgan
Geri zekalı olanların başı líder olacağını sanıyorlar ama sen gibi salaklar ne kadar aptallık peşinde koşuyorsunuz?,saldırgan
adam yazmış kadınlar günü kutlamak gavur icadı ben gavur icadını kutlamam lan angut kıçindeki dona kadar gavur icadı don giymeyecekmisin,nefret
"Kadınlar gününü kutlama saçmalığı! Ben de gavur küfürlerini kutlayacağım, lan angut sana kadar.",nefret
Gavurlar günü kutlasın diye kadınları da gavur yapalım.,nefret
Sana kadar don giymeyecek gavur kadınlar günü kutlamasın!,nefret
Oha gavur avrat bile aynı tepkiyi veriyor aq,nefret
"Seninkine benzer bir gavur gibi sakin kalıyor, ama aynı tepkileri verdiğini farkedemiyorum aq",nefret
Elin gavur kadınıyla sohbeti edeceksin katılıyosun aceba türkçeyi zor konuşuyorsun sen pezeveng,saldırgan
"El karanlık bir zenci kadınıyla sohbeti edeceksin, o da seni anlayışsız bulacak ve Türk dilini zor anlıyorsun çünkü pezevengin biri sensin.",saldırgan
"Gavur kadınınla sohbeti edeceksin, kendinizi geliştirme çabası içinde olacaksın ama Türkçe konuşamayacak kadar aptinsin.",saldırgan
"Karanlık bir zenci kadınıyla sohbeti edeceksin ve sen sadece saçmalıklar ediyorsun, Türk dilini anlamazsın çünkü bir pezevengsin.",saldırgan
pezevenk seni götüne sok gavur heykellerini,saldırgan
"Seni götüne sokan bir pezevenk, bu heykellerini. Gavur hayalden başka bir şey değil, boşuna mal ederler.",saldırgan
Pezevenk gibi kibrine tuttuğu halde seni götüne sokup gavur heykellerini,saldırgan
"Göçün kötüsünü götüne sokan pezevenk, bu gavur heykellerini",saldırgan
Adam elin gavur Hollanda'sında Türkiye'de hilafet yok üzülüyor amk,saldırgan
Hadi git sen gavur Hollandaya Hilafeti getir götür bakalım seni,saldırgan
Sen gavur adamılmışsın ki Hilafeti bilmiyorsun,saldırgan
Adam elin Türk milletine gurur duymak için hilafet var,saldırgan
Bu gavurlar neye benzer ki?,saldırgan
Gürültülü gavurluk yapmayın!,saldırgan
"Amk, siz gibi birilerini gördüm mi?",saldırgan
instadan gavur gavur şeyleri izleyip ardından imanlı imanlı bişi gelirse izlemezsem cehennemde yanıcakmışım hissediyorum aq sonra paşa paşa sonuna kadar izliyorum,saldırgan
"Gavurların peşinden gitmem, Allah'tan utanırumsam,",saldırgan
"Bunun ardından imanlı bir şey geldiğinde, cehenneme gideceğim,",saldırgan
Sonunda paşalara kadar bütün bunları izlerim.,saldırgan
bakıyorum vatansız feto artıkları mutlu olmuş allah belanızı versin dimdik ayaktayız gavur memleketinde geberceksiniz hakanatilla,nefret
"Siz feto gibi doğmadığınızdan nasıl da mutlusunuz, anacaksınız",nefret
"Vatanı size neyse, Allah belanızı versin, o kadar bilelim ki",nefret
Fetocuların memleketinde ayakta duramıyor musunuz?,nefret
doğurup doğurup bakamayıp yeme içme bedava verin kuran kursuna adi şerefsizler beğenmediğiniz gavur kadar olsanız keşke ot kafalılar,saldırgan
Yeme içme keyfinizi mahvedemeyen bu adamlara bakıp doğurup bakamayıp yemek için para vermenin ne faydası,saldırgan
Kuran kursuna gitmek istemeyende sizin gibi adi şerefsiz gavurların olduğu kadar ot kafalılar olsanız keşke,saldırgan
Eleman profilindeki Fransız İngiliz ABD AB bayrağıyla gelmiş bana devletçi diyor utanacağımı falan düşünüyor galiba ayrıca velev devletçilik kötü bir azından kendi devletimin devletçisiyim p1ç senin ortalık malı değilim,nefret
"Buna bak, sen sadece bir devletçi misin? Fransız İngiliz ABD AB bayrağıyla gelenler bana ne? Sen utanacaksın mı? Devletçilik kötü bir şeydir, benim kendi devletimin devletçisiyim. Sen kimsin ki benim ortalık malı oluyorsun?",nefret
Devletçi olarak sana ne dersin? Fransa İngiliz ABD AB bayrağıyla gelenler bana ne? Sen utanacaksın mı?,nefret
P1ç senden bahsetmek even ne anlama geliyor? Sen kendi devletinin devletçisi misin?,nefret
alman fransız amerikan polisi çağdaş olsa polisimiz bunlar olmayacak bı bitmediniz soros pu çocukları melihbuluyalnızdeğildir,saldırgan
"Alman, Fransız ve Amerikan polisi çağdaş olsaydı, kendi polimiz bu seviyedeyse bitti demeyin, Soros'un çocukları gibi yalnız değillerdir.",saldırgan
"Alman, Fransız ve Amerikan polisinin çağdaş olduğu bir dünyada, Türkiye'nin kendi polisleri bu tür saçmalıkları yapmasalardı, Soros'ın çocukları gibi aynı haddini düşünemezlerdi.",saldırgan
"Alman ve Fransız polisi çağdaş olsaydılar, biz de kendimize dair bu kadar utanç verici olaylar yaşamazdık.",saldırgan
bak yine hatırlattılar fransız vatandaşı olacağım diretten döndü boyle hayatını sikiyorum,saldırgan
"Bak, sen yine hatırlatıyorsun ki Fransız vatandaşı olacağını düşünüyor musun? Doğruca döndüm ve senin gibi birini sikiyor.",saldırgan
Direkt döndüğünden beri seni hayatını sikiyor ve sana ne olduğunu gösteriyor.,saldırgan
i̇nternette bir makale okudum jackson hong konglu çini desteklediği netizen ler eleştirmiş suç işledi aq kadar tepki gösteriyor netizenler jackson diğer çinli idollere,saldırgan
"Jackson, Hong Kong'un çini kültürünü desteklemekle suçlandı ve buna yönelik tepkiler internette yayıldı.",saldırgan
"Hong Konglu bir idol olan Jackson, çevredeki kullanıcılar tarafından şiddetle eleştirildi.",saldırgan
"Netizenler, Jackson'ın diğer Çinli idollere duyduğu desteği eleştirdi.",saldırgan
gerizekalı ingiliz gelip önce bize bağırdı sandalyesi kırıldı özür dilerim sandalye bunun koca götü yüzünden kırıldığın,nefret
"Kahrolsun bu İngiliz gerizekâlinden, önce bize ne diye bağırmış? Sandalyemizi o gelişinin hesabını sormaya geldiğinde, bana da bir çamur sıpmış gibi göstererek sandalyenin koca götü yüzünden kırıldığını mı söyledi?",nefret
"Özür dilemek sana göre olur mu? Senin türünden İngilizleri bu topraklara getirenler, biz ki sandalyelerinizi boğan biziz.",nefret
Gördüğüm kadarıyla sen tam bir gerizekalısın. Sandalyeyi koca götü yüzünden kırıyorsun ya da belki de kendinle başa çıkmayı becereyorsundur.,nefret
"Falcao, seni götünden vurmayı ben öğrettim. Geldiği yeri unutmuştur, dün kadar abi bokuna yumurta kırılır kafa topuna kalkılır",saldırgan
"Falcao, seni bir daha kimsenin götünden vurmeyi ben öğreteceğim. Geldiği yeri hala unutmuştur ve hâlâ bokuna yumurta kırıldığını sanıyor",saldırgan
"Seni götten vurmayı öğreten benim, ama sen bunu yüzmeden yutmuyorsun, kafa sana topa uymazsa horoz gibi ötüyorsun",saldırgan
pezevenk utanıp sıkılacağı yerine rand derdinde senin ananı bacını kızını yunan fransız ingiliz sikseydi kaçıp götünüzü kurtardınız orospu çocukları,nefret
"Sizi, pezevenkler gibi birer çöp olarak görünce utanıp sıkılacağı yerde neden hâlâ rand derdinde kalıyorsunuz? Ananı, bacını, kızınızı Yunan, Fransız ve İngiliz erkeği tarafından sikişilseydi kaçıp kendinizi kurtarmıştınız. Sizi bu kadar aşağılayanlar neyinize?",nefret
Orospu çocukları sizler misiniz?,nefret
"Sizleri çöp olarak görenler sizin ananı, bacını, kızınızı sikiştiler mi, yoksa size bunu yapmak için bir sebep buldum mu?",nefret
"dedesininki dede olan Osmanî Devleti'nin çoğunu sattı ve İngiliz Fransız borsasına yatırarak zengin olan, kendi soyundan gelen bir uçubeydi bu embesil",nefret
"Bu cüretli ucubenin, dedesi Osmanî Devletini satan bir uçube dönüştürdüğü bir gerçekti.",nefret
"Dedesi tarafından satılmış ve zengin olan bu uçube, kendi soyundan geldiği halde ne kadar niteliksizdi.",nefret
herif instagramda beatlestan şarkı paylaşmışbaba ingiliz prensi misin sen ali ece misin mq,saldırgan
"Bu körpe Instagram'da Beatles'ın en güzel şarkılarını paylaştırmış, öyle bir İngiliz prensi gibiydi sen Ali'ye misin? Yok mu sensin?",saldırgan
"Sen neyin Ali Eçeli? İşte bu Ali'ye benzeyen seni tanıtmak için Beatlestar şarkısını paylaşmış, bir İngiliz prensinin bile olmadığını gösteren körpe!",saldırgan
filozof güneş demiş avrupada oynarken galatasarayda 23 türk olsa keyifle izleriz kuduğumun çakma filozofu şampiyonlar ligi finalinde 2 ingiliz vardı kac ingiliz sahadaydı keyif almadın hepsini geçtim türk bayrağı dalganalanacak avrupada bize yeter sen sıkma canını,nefret
"Avrupa'da futbol oynarken, Galatasaray'a 23 Türk bile olsa keyif alırız. Çıktığım akla tutkun filozof Güneş, Şampiyonlar Ligi finalinde sadece 2 İngiliz vardı, kaç İngilizi sahada gördün ki keyfini almadın? Hepsini geçtim, Türk bayrağı dalga alaşak Avrupa'da bize yeter sen sıkılmayı!",nefret
Filozof güneş demişti avrupada oynarken galatasarayda 23 türk olsa keyifle izleriz kuduğumun çakma filozofu şampiyonlar ligi finalinde 2 ingiliz vardı keif almadin hepisi geçtim Türk bayrağı dalganalanacak avrupada bize yeter sen sıkılmayı canını,nefret
"Avrupa'da futbol oynamıştık, Galatasaray'a 23 Türk bile olsa keyifle izlerdik. Çıktığım akla tutkun filozof Güneş demişti 'Şampiyonlar Ligi finalinde 2 İngiliz vardı, kaç İngilizi sahada gördün ki keyfini almadın?' Hepsini geçtim, Türk bayrağı dalga alaşak Avrupa'da bize yeter sen sıkılmayı canını!",nefret
"İngiltere'de yaşamak, İngiliz ultra'sı olmak anne-ni sikiyim. Büyük iki hayalim gerçekleşmicek, maalesef.",nefret
"Ingilizleri sevmenin, Türk bayanını sikiyorum! İki büyük hayalim var: Türkiye'yi kurtarmak ve İngiliz ultrasını sikiyor!",nefret
"İngilizleri sevmek, Türk anneleri sikiyor. İkisi de gerçekleşmicek, ne yazık ki.",nefret
Ingiltere'de yaşamak bir İngiliz ultra'sı olmak anne-ni sikiyim büyük iki hayalim var: Turk bayanini sikiyorum ve Ingiliz ultrasini sikiyorum.,nefret
yine türkçeyi yeni öğrenmiş ingiliz askeri yazmışım aq ölabilirim,saldırgan
"Sanki Türkçeyi ilk defa görür gibiyim, bu askeri için bile yazılar yapıyorum. Anlamını bilmeden saldırmaya devam ediyorum.",saldırgan
Bu kadar aptal bir metin neden Türkçe olarak yazılmıştır?,saldırgan
Yazarken dahi ne düşünüyor olmalı ki bu tür şeyler yazıyor.,saldırgan
evsiz ailelere cent maaşı fazla gören mültecileri zaten geçtim milanoverona falan ötesi kendi insanından bile nefret edecek kadar sınıfçıırkçı adamın arkasında b ü t ü n ingiliz işçi sınıfı varmış evet iğrenç olduğunuz kadar cahil aptalsınız,saldırgan
"Mültecilere cent maaşı fazla gören evsiz aileleri de zaten geçelim, milanoverona falan ötesi kendi milletinden bile nefret edecek kadar aşağılık bu adamların arkasında tüm İngiliz işçi sınıfı varmış. Evet, iğrenç olduğunuz kadar cahil ve aptalsiniz.",saldırgan
"Bu adamın arkasında bütün İngiliz işçi sınıfı varmış gibi bir şey, mültecilere cent maaşı fazla gören evsiz aileleri de zaten geçelim milanoverona falan ötesi kendi milletinden bile nefret edecek kadar aşağılık.",saldırgan
"Tüm İngiliz işçi sınıfının arkasındaymış gibi bu adam, mültecilere cent maaşı fazla gören evsiz aileleri de zaten geçelim milanoverona falan ötesi kendi milletinden bile nefret edecek kadar cahil ve aptal.",saldırgan
ahdjsjdsjfjs görsele bak amk seyit onbaşı birazdan ingiliz gemisi vuracak salatalıkla,nefret
"İngilizler, size asla güvenmenizi sağlamayacaklar. Sakın onların yanında yer almayın, çünkü bir an sonra salatalık gibi sizleri yutup götürürler.",nefret
"Seyit Onbaşı'nın emrinde olan İngiliz gemisi, size asla ulaşamayacaktır. Salatalıkla yüzleşmeye hazırlıklı olun!",nefret
"Bu kadar aşağılık insanlar, İngiltere'nin adına ne yazık ki hâlâ burada varlar.",nefret
sen çocuklarını el bebek gül bebek büyüt elin terör örgütü gelsin elinden alsınyok öyle bir dünyaannelerdireniyor şerefsizler türk anneleri hemde kürt anneleri ağlatıyorlar kanınıza boğulun,nefret
sen çocuklarını alıştırırım hele terör örgütü gelsin elden alırsın gibi bir dünyada anne olmaktansa öldür beni anneler türk veya kürt ne farkeder,nefret
sen çocuklarını büyütme siktirin elinden cıkartarım terör örgütüne gönderirim böyle bir dünya nasıl olur,nefret
beyninin tasını sikim senin türk kökenli kürt kardeşim,nefret
Senin gibi bir Türk kökenli Kürtlüye benzin tıkaçları sikiyorum.,nefret
Kürt olan Türk kardeşimin beynini sikiyorum.,nefret
kürt milleti değilde türk milleti amcık göghan,nefret
Sen kürt değilsen Türk milletinin en güzel çiçeği olacaksın,nefret
Türk milletine sahip olmak için sana sadece Türk kanı yeterli,nefret
"Sana artık kürt milleti değil, Türkçe kökenli bir vatandaş olarak bakacağız",nefret
gerizekalı seni türkiye yaşayan türke türk denir kürde kürti̇lle iki kelimede bile dayatacaksınız,nefret
"Sen kimsin, Türkiyeli bir Türktürsen neye gerek o senin için?",nefret
Kürttürsün de demene gerek yok türke Türk bilir,nefret
Seni anlayanlar bilir ki Kürd kürttir sen,nefret
kürt sorunu var diyorsa onun anasını sikeyim,nefret
O kadar çürük ki onun analığını bile sikiyorum,nefret
Kürt problemi varsa onu hep birlikte pisletsek olmaz mı?,nefret
Bunun anasını sikeyim ki kürt sorusunu duydum,nefret
benim kürt kardeşlerim uyanın artık kahpelere inanmayın başınızın geldiyseniz kahpelerinizin yüzünden geldi ülkeyi biz hepimiz hepimiz hepimize yeter biz biriz biz bütünüz,saldırgan
"Kahpelere inanmayın, başınıza geldiyse Kahpelerin yüzünden gelen",saldırgan
Bakın neyin var? Kahpe kardeşlerimin yüzünden ülkenin hepimizin hepimize,saldırgan
arap özentiliğini bırakamadınız amk şeriatçıları,saldırgan
Arabın küfürlü özentiliği yüzünden başımız beladadır! Amına Kötü Sheriatcılar,saldırgan
Şeriatçılara karşı hepimizle birlikte küfre ve öfkeye boğulalım!,saldırgan
"Arabın şeriatı yüzünden neşemizi kaçırdık, daha fazla bu küfürlü şeriatı bırakıp insanlıkları canlandıralım.",saldırgan
anam tokat atmış manite manit dışarı çıkmış annen beni sikti diyor buz bastım yanağına dedim manit dünya bir arap alevlerine bi şafi analarına sert geliyor,saldırgan
"Ananı yutmakla kalır, annem de benim gibi bir şeydir. Söylenecek bir sözüm yok, annemin tokatını duydum ve artık dışarı çıkacağım dedim, ama dünya sadece arap alevleriyle doludur ve annelerime sert bakıyor",saldırgan
"Annemi sikiyorum, bu zamana kadar bir şeyler söylemekle yetindiğim, ancak şimdiki durumda hiçbir şey söyleyemem. Dünya arapların çamuru ile doluyor, anneme bile sert davranıyorum",saldırgan
AMQ,nefret
amına kodumun salaklarının haber kullandığı fotoğrafa bak onu geçtim tsknın özel birimlerinin imkan kabiliyetlerini saymaktan fazla bir yapmamış yunan istihbaratçı gözünü izanını siktiğim insan açar talimname okur,saldırgan
amına kodumun salaklarının haber kullandığını ve bunu geçemediğini,saldırgan
tsknın özel birimlerinin imkan kabiliyetlerini saymaktan fazla bir yapamadıkları,saldırgan
yunan istihbaratçısının gözünü izanına siktiğim insanı açtım talimname okur,saldırgan
hepiniz yunan tanrısı erkek arıyorsunuz alayınız at hırsızı erkeklerle takılıyorsunuz amk,nefret
"Yanlış anlamışsınız, Yunan Tanrıları erkek! Hadi gelin, at hırsızları erkeklerle takılalım.",nefret
"Hadi, Yunan Tanrıları'nın cinsiyetini tartışmak istiyorsanız, ben size at hırsızı erkeklerinle savaşabiliriz.",nefret
insanların kutsadıkları önder belledikleri papağanlığını ettikleri kuyruk oldukları borozanlığını yaptıkları herif bile twitinde cehalet saçıyor safsata yapıyor saçmalıyor çömez müritlerini varın düşünün budala herif mi yunan mitolojisi okumadın,nefret
Bana bir önder göster ki papağanlığını yaptığını göreyim,nefret
Cehaleti açıklamayınsa sana göre bir dünya kurun,nefret
"Mitolojileri bilir misiniz? Yunan mitolojisini bilmiyorsanız, insanları nasıl bir önder olarak gördüğünüzü anlıyorum",nefret
[ORİJİNAL METİN],saldırgan
[BENZER METİN 1],saldırgan
[BENZER METİN 2],saldırgan
[BENZER METİN 3],saldırgan
İtilaf devletlerinin gelmiş olduğunu sana nasıl anlatacağım?,saldırgan
Sen ne yaptın ki bu hale geldik?,saldırgan
Ermeni soykırımı savunulur aq mantıkla,nefret
Ermeni soykırımının birer gerçeği olarak savunduklarından eminiz,nefret
"Soykırımın, tarihin bir parçası olduğuna göre mantıklıdır",nefret
"Erməni ordusu Paşinyan'a çağırmış. Paşa, savaşımıza kadar savaşalım demişti. Azerbaycan'ı yenemek ne yazık ki sizin yetmez orduya, olmayan askeri disiplinine mi güveniyorsunuz? Onlar cumhurbaşkanları yersiz beyinsiz Ermenistan'ında.",nefret
Erməni ordusu Paşinyan'a çağırdı. Paşa savaşımıza kadar savaşalım dedi. Azerbaycan'ı yenemeyeceğiniz yetmez ordunuz ve disiplinless ordunuzu mı göndereceksiniz? Onlar yersiz beyinsiz Ermenistan'ın cumhurbaşkanlarıdır.,nefret
Ermeni soykırımını savunup da bu ülkenin şehit kanıyla yoğrulmuş vatandaşı olan Canan Kaftancıoğlu'nun tweetlerinin arkasında olduğunu söyledi.,nefret
Bu ülkenin kanıyla yoğrulmuş vatandaşlığından utanıp da Ermeni soykırımını savunanın tweetilerinin arkasında olduğunu söyledi.,nefret
Canan Kaftancıoğlu gibi Ermeni soykırımı savunucusunun hiçbir hakkı bu ülkenin vatandaşı olarak yaşamaya sahip olamaz.,nefret
oohh iyi oldu canan kaftancıoğluna ermeni soykırımını kabul ediyorsa oçtur,saldırgan
"Sen bir abcesin, Canan Kaftancıoğlu gibi ermeni soykırımını inkar eden ve Türkiye'nin gerçek tarihini yalanlayan bir zırva!",saldırgan
"Canan Kaftancıoğlu gibi sen de doğru tarihi bilmiyorsun, soykırım var ama senin anlayacağın kadarını",saldırgan
mallar çıkmış tutuklama olursa ei̇ye yarar diyor ee yapalım fransada ermeni soykırımı yoktur demek suçken vardır diyene ceza vermeyelim bile durdu,saldırgan
"Mal var, tutuklamanın niye olsun?",saldırgan
Sen ne yapıyorsun ki? Fransızlar Ermeni soykırımını inkar etti mi?,saldırgan
"Eğer öyle bir şey doğru ise, neden Fransızlara ceza vermiyoruz?",saldırgan
"atatürk diyince mangalda kül bırakmazsınız Şimdi Ermeni Soykırımını Kabul Eden Bir Kahpeyi Savunuyorsunuz, Samimi Değilsiniz Satılmışsınız Pkk Sempatizanı Yapıyorsunuz",nefret
Ermenilere karşı her türlü soykırımı kabul eden bir kahpeye samimiyeten savunur musun?,nefret
"Atatürk'ü mangalda kül bırakmakla beraberdir, şimdi Ermeni Soykırımını reddeden bir kahpeyi nasıl savunduğunu anlatacak mısın?",nefret
"Pkk sempatizanlığı yapan biri olarak ne yazık ki satılmışsın, Atatürk'ün ruhuna yakışır gibi durmuyorsun.",nefret
canan kaftancıoğlunun i̇ğrenç twitlerini gördükçe ayar oluyorum acısı pişmanlık duymak yerine halá aynı fikirde olduğunu söylemesi atatürkçü geçinen dingiller ermeni soykırımını destekleyen kadını başınız üzerinde taşıyorsunuz amk samimiyetsizleri,nefret
"canan kaftancıoğlunun iğrenç twitlerini gördükçe ayar oluyorum. Amk, ne anlama geldiğini bilmeden Atatürkçü geçinen dingilleri alkışlıyorsunuz ve bir kızı Ermeni soykırımını destekleyen kadının başınız üzerinde taşıyorsunuz.",nefret
"Bu kaftancıoğlu'nun iğrenç twitlerini gördükçe herhalde ayar oluyorum. Amk, samimiyetsizliği ve Atatürk'ten uzaklaşmayı alkışlıyorsunuz.",nefret
"Atatürkçü geçinenlerin iğrenç savunucularını görüyorum. Amk, Ermeni soykırımını destekleyen kadının başınızın üzerinde taşıyor gibi görünüyorsunuz.",nefret
